date,close,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,sma20,sma50,sma_cross,above_sma20,above_sma50,ticker
2026-08-03,161.66,52.36,3.098653,3.368932,-0.270279,164.9236,157.5154,0.559,161.2195,153.9583,0,True,True,DVY
2026-08-03,86.41,71.78,2.161678,1.124138,1.03754,82.8647,67.6443,1.233,75.2545,73.4322,0,True,True,DXCM
2026-08-03,209.94,79.58,1.354577,1.360906,-0.006329,211.1661,205.0229,0.8,208.0945,205.1068,0,True,True,EA
2026-08-03,108.87,43.29,0.360334,0.663222,-0.302888,118.5326,108.1774,0.067,113.355,111.399,0,False,False,EBAY
2026-08-03,83.96,32.21,-5.72325,-5.745151,0.021901,100.7673,81.5437,0.126,91.1555,105.0526,0,False,False,ECHO
2026-08-03,277.485,54.93,2.052656,1.458085,0.594571,285.3553,261.5432,0.669,273.4492,268.7726,0,True,True,ECL
2026-08-03,108.15,41.32,0.007841,0.543204,-0.535363,114.1008,108.5452,-0.071,111.323,109.2528,0,False,False,ED
2026-08-03,175.005,52.17,3.008049,3.082685,-0.074636,186.3538,161.7007,0.54,174.0272,167.8077,0,True,True,EFX
2026-08-03,372.06,50.24,6.671469,8.490746,-1.819277,394.5563,360.3517,0.342,377.454,355.4542,0,False,True,EG
2026-08-03,71.945,36.72,0.642137,1.435522,-0.793385,81.6731,72.4834,-0.059,77.0782,73.7261,0,False,False,EIX
2026-08-03,83.94,52.85,0.242394,-0.057656,0.300051,85.5711,79.8119,0.717,82.6915,83.9314,0,True,True,EL
2026-08-03,377.58,43.27,-6.026608,-4.240055,-1.786552,432.0176,353.1264,0.31,392.572,395.8269,0,False,False,ELV
2026-08-03,808.915,55.81,-9.637936,-17.973573,8.335638,823.361,697.3238,0.885,760.3424,801.4942,0,True,True,EME
2026-08-03,152.05,63.18,2.55523,1.319928,1.235302,153.9087,130.3983,0.921,142.1535,142.278,0,True,True,EMR
2026-08-03,38.46,42.56,-2.922775,-3.012218,0.089443,46.6529,34.1301,0.346,40.3915,49.2604,0,False,False,ENPH
2026-08-03,146.16,60.05,3.178266,2.564346,0.61392,150.4178,130.7638,0.783,140.5908,136.6795,0,True,True,EOG
2026-08-03,1025.49,47.18,-5.78202,-6.513193,0.731173,1065.5774,995.7706,0.426,1030.674,1053.4844,0,False,False,EQIX
2026-08-03,67.05,46.36,0.00391,0.323062,-0.319153,70.2772,66.4488,0.157,68.363,67.1165,0,False,False,EQR
2026-08-03,53.329,57.3,0.238086,-0.156474,0.39456,54.6986,47.7513,0.803,51.2249,52.4382,0,True,True,EQT
2026-08-03,244.36,56.13,1.987621,0.316366,1.671255,263.66,204.89,0.672,234.275,228.9457,0,True,True,ERIE
