ticker,sector,decision,composite_score,roe,roic,ev_ebitda,pb_ratio,mktcap_to_assets,leverage_flag,momentum_score,mom_12_1,resid_mom_63,factor_composite,liquidity_score,sp500_member,sp500_sector,suggested_w_max,sizing_action,buy_score,action,regime,reasons
T,Communication Services,WATCH,0.3893,0.1,0.06,,1.45,0.398,levered-assets,-0.5524338899953722,-0.2753521056289687,-0.161834106297472,-0.3177628691091111,0.8309859154929577,True,Communication Services,0.03,reduce_or_avoid,-0.35,AVOID,Stress,"weak_momentum,levered_assets_flag,sp500_member,stress_regime_haircut"
ASTS,Communication Services,AVOID,0.11,,,,8.39,9.073,,-0.9615064173335672,0.7008990719500694,0.0918453041617884,-0.4715245679035613,0.6830985915492958,,,0.03,reduce_or_avoid,-0.38,AVOID,Stress,"decision_avoid,weak_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
SEDG,Information Technology,AVOID,0.0738,-0.05,-0.02,,6.18,,,-0.2912655213487255,0.9795919455965908,-0.0091381488443428,-0.5987277854753827,0.1197183098591549,,,0.03,reduce_or_avoid,-0.43,AVOID,Stress,"decision_avoid,low_liquidity,sp500_member,stress_regime_haircut"
C,Financials,AVOID,0.3427,0.07,0.05,,1.15,0.092,levered-assets,-0.1551068420819004,0.4788166821363755,-0.073541647056044,-0.1340494564564463,0.8169014084507042,True,Financials,0.03,reduce_or_avoid,-0.45,AVOID,Stress,"decision_avoid,levered_assets_flag,sp500_member,stress_regime_haircut"
MTSI,Information Technology,AVOID,0.11,,,,13.38,3.795,,-0.7494599161797654,1.557822170249406,-0.2361127799578533,-0.4063050230987186,0.4507042253521127,,,0.03,reduce_or_avoid,-0.48,AVOID,Stress,"decision_avoid,weak_momentum,sp500_member,stress_regime_haircut"
TSLA,Consumer Discretionary,AVOID,0.3121,0.15,0.1,,13.79,,,-1.4971087696379188,0.1593199556434947,-0.2997066234388758,-0.7600949220326424,0.9788732394366196,True,Consumer Discretionary,0.03,reduce_or_avoid,-0.48,AVOID,Stress,"decision_avoid,weak_momentum,sp500_member,stress_regime_haircut"
IBM,Information Technology,AVOID,0.3247,0.25,0.1,,6.06,1.607,,-0.8175079285238137,0.2059815061473717,-0.0439782253274043,-0.4003805130805255,0.908450704225352,True,Information Technology,0.03,reduce_or_avoid,-0.48,AVOID,Stress,"decision_avoid,weak_momentum,sp500_member,stress_regime_haircut"
ARKK,ETF,AVOID,0.11,,,,,,,-0.5304325719752064,0.0428699291605219,-0.0473752263789851,-0.2045510835365454,0.3873239436619718,,,0.03,reduce_or_avoid,-0.48,AVOID,Stress,"decision_avoid,weak_momentum,sp500_member,stress_regime_haircut"
PLTR,Information Technology,AVOID,0.1972,0.08,0.05,,34.68,,,-1.042933459906898,-0.2986928107820723,-0.2877564291149058,-0.7331627886377974,0.9225352112676056,True,Information Technology,0.03,reduce_or_avoid,-0.48,AVOID,Stress,"decision_avoid,weak_momentum,sp500_member,stress_regime_haircut"
NOC,Industrials,AVOID,0.11,,,,4.44,1.688,,-0.5850040226680453,-0.05682972661213,-0.1127200579044102,-0.2868495464296734,0.4788732394366197,True,Industrials,0.03,reduce_or_avoid,-0.48,AVOID,Stress,"decision_avoid,weak_momentum,sp500_member,stress_regime_haircut"
SPCX,Industrials,AVOID,0.11,,,,18.84,36.954,,-0.5116153989572056,0.4766473746123014,0.0018382250269482,-0.3226502800437505,0.943661971830986,,,0.03,reduce_or_avoid,-0.48,AVOID,Stress,"decision_avoid,weak_momentum,sp500_member,stress_regime_haircut"
TTMI,Information Technology,AVOID,0.11,,,,6.53,3.427,,-0.9318738758392604,2.4693060254400265,-0.354869029085066,-0.4474555675811749,0.3450704225352112,,,0.03,reduce_or_avoid,-0.48,AVOID,Stress,"decision_avoid,weak_momentum,sp500_member,stress_regime_haircut"
RKLB,Industrials,AVOID,0.11,,,,16.45,16.165,,-1.1344636868948226,1.3362790484761082,-0.2222168108438107,-0.5599681161241403,0.7816901408450704,,,0.03,reduce_or_avoid,-0.48,AVOID,Stress,"decision_avoid,weak_momentum,sp500_member,stress_regime_haircut"
MCHP,Information Technology,AVOID,0.11,,,,6.32,1.629,,-1.03148905902225,0.2873003709452233,-0.2217578487320499,-0.4839754569949133,0.6619718309859155,,,0.03,reduce_or_avoid,-0.48,AVOID,Stress,"decision_avoid,weak_momentum,sp500_member,stress_regime_haircut"
FMC,Materials,AVOID,0.3147,0.05,0.04,,0.71,0.129,levered-assets,,,,0.0962463610238299,0.0704225352112676,,,0.03,reduce_or_avoid,-0.5,AVOID,Stress,"decision_avoid,levered_assets_flag,low_liquidity,sp500_member,stress_regime_haircut"
VAL,Energy,AVOID,0.2517,,,,1.65,1.163,,-0.6221606440075202,0.5930232492495007,-0.2907021598976529,-0.1593679706139632,0.0845070422535211,,,0.03,reduce_or_avoid,-0.58,AVOID,Stress,"decision_avoid,weak_momentum,low_liquidity,sp500_member,stress_regime_haircut"
TDW,Energy,AVOID,0.2353,,,,2.67,0.914,,-0.5272030092694256,0.2116684679383591,-0.2582947337800252,-0.2089629324810164,0.0774647887323943,,,0.03,reduce_or_avoid,-0.58,AVOID,Stress,"decision_avoid,weak_momentum,low_liquidity,sp500_member,stress_regime_haircut"
BKSY,Industrials,AVOID,0.11,,,,10.22,1.313,,-1.5068261186628995,0.5078420500748653,-0.4201688080292127,-0.689763686852043,0.056338028169014,,,0.03,reduce_or_avoid,-0.58,AVOID,Stress,"decision_avoid,weak_momentum,low_liquidity,sp500_member,stress_regime_haircut"
