ticker,ret_21d,ret_63d,ret_126d,ret_252d,mom_12_1,resid_mom_63,beta_est,trail_ann_ret,trail_ann_vol,trail_sharpe,trail_n,ret_21d_z,ret_63d_z,ret_126d_z,mom_12_1_z,resid_mom_63_z,momentum_score,momentum_quintile
MRK,0.03525556706324062,0.14746700190765205,0.09684772481825954,0.6163136781262131,0.5664369361952557,0.07636665772999153,0.7676015743796205,0.5177684402900676,0.2746833311406729,1.7393426761865987,252,0.28008198460910255,0.6500061834162704,-0.06471399779286813,0.20730893255502858,0.5344420512602225,0.32142503080955115,4
KO,0.08857174150759417,0.13173033764875308,0.14402068014746683,0.251449568795161,0.19415271761180675,0.06270193625213193,0.77897292873027,0.5916499334238948,0.9990728457682434,0.5521618726407282,252,0.7129977151229132,0.5447754273001179,0.0966843386676476,-0.23233465471138276,0.4421186411956934,0.3128482935149979,4
XBI,-0.03251354991163935,0.13453188549713246,0.20887545380404382,0.7425219731306973,0.7924487570486889,0.046368150211315975,0.9732694354925296,0.5921969175773723,0.27052202724115576,2.041227190291305,252,-0.27018849310637283,0.5635093211883242,0.3185795433807143,0.4742142772475915,0.33176214187034175,0.2835753581161198,4
BEN,-0.02613045121729274,0.11683492649386817,0.19187920445125695,0.29116377887853107,0.3104110530374069,0.13816750807561923,1.2835278287652678,0.621938842603158,0.8700439001959043,0.6688614706362808,252,-0.2183591211943101,0.4451701137024075,0.2604282922567578,-0.09504107876928153,0.9519891822457048,0.2688374776482557,4
FITB,-0.01565492258832213,0.1455465264093645,0.04621926405892962,0.33972532916438003,0.32992090405308483,0.15617130969066637,1.2617099182324498,0.6490949212919503,1.4132512659911376,0.4309884137020613,252,-0.13330010906165268,0.6371640025409263,-0.23793505818831528,-0.07200120638306265,1.073628863077808,0.2535112983971407,4
PM,0.08053349857605241,0.1348188263458019,0.06436055573831223,0.1387899943616695,0.09880635945982341,0.08185054604830319,0.5953086832265777,0.167203826858752,0.27362668620418334,0.4648809245302597,252,0.6477289323000223,0.5654280888489496,-0.17586614014271462,-0.3449325378293582,0.5714930274385435,0.2527702741230885,4
JNJ,0.0072447107159321344,0.1410348385654805,0.0910564506860696,0.48061123470080735,0.5080840001508207,0.07327143923886345,0.7082346204851684,0.40924103808778156,0.18221841130914068,2.026365148477503,252,0.05263992852968885,0.6069944370370114,-0.08452835973816582,0.13839788865497044,0.5135297241075075,0.24540672371820244,4
CTVA,0.06942776345224155,0.09364663566966458,0.18929703236673,0.25777837355011424,0.18622979233659875,0.0441378288188779,1.04782954922542,0.3482062624541291,0.7800967568466605,0.3950872244360729,252,0.557552780613906,0.290110481220745,0.251593605602318,-0.24169111710156968,0.3166933476162195,0.23485181959032375,4
SMG,-0.003791776832253624,0.15019360600465093,0.055795993518198195,0.12296556801549197,0.0801693859600352,0.13773619264508474,0.9417001182824386,0.5181366991789821,0.9866036034455726,0.4846289811928091,252,-0.036973947916306094,0.6682389299523946,-0.20516907622531208,-0.36694159831656575,0.9490750715245376,0.20164587580374965,4
AFL,0.07485866238920913,0.12379774598620341,0.12092939211078191,0.22993719803844614,0.14361400892574228,0.017613884516530495,1.0997779959592662,0.22075750180977982,0.16598282192846123,1.0890133069775527,252,0.6016504977728495,0.491730347041845,0.01767942049276202,-0.29201760143176075,0.13748874470338227,0.19130628171581557,4
D,0.028617825862307766,0.10770456730456046,0.11872294735265032,0.13733488492973112,0.1231884333953226,0.08867867740044343,0.6081728590195407,0.5337881835729282,0.9143484950211432,0.5400437429073582,252,0.22618497097466325,0.38411558618018554,0.010130253581992443,-0.3161388852518049,0.6176261573248362,0.1843836165619745,4
JPM,0.05022898916816465,0.14041935011891082,0.10584050888089735,0.19805360693589447,0.1512408447527842,0.013162585565526741,1.3318055955644126,0.20564515668480154,0.22326876147156574,0.7419092379651919,252,0.4016629126558133,0.6028786782238528,-0.03394593635322943,-0.2830108015323417,0.10741428624923902,0.15899982784866679,4
LMT,0.10020692440574597,0.10799953353429048,-0.047531395497194096,0.3303132556293391,0.23349970425042277,0.031828735459149465,0.8904538233909695,0.3211692481471772,0.2688970422813878,1.0456390511463758,252,0.8074728674853991,0.38608801940190013,-0.558695129055997,-0.18586840798261592,0.23352901268161644,0.13650527250606054,4
SHEL,0.18205566797656036,0.014004032826396617,0.14874985511509786,0.25273359358104464,0.07243981639953834,-0.05403764655421215,1.01173486261683,0.5697758812954878,0.8423105488053075,0.628955534329822,252,1.4720668482778314,-0.24245799570512064,0.1128648168098295,-0.37606972011160866,-0.3466128665525602,0.12395821654367425,4
DG,0.1067708626527486,0.11373162352617827,-0.14572864321608037,0.10686689207125832,0.02055442814232511,0.0814432346363456,0.4921454841698139,0.1653681297483448,0.3598105308081633,0.34842818376315426,252,0.8607706171995035,0.42441838942495524,-0.8946688308566246,-0.43734300831842143,0.5687410958626931,0.10438365266242114,4
