roe,roic,debt_to_equity,debt_to_assets,equity_multiplier,pm_x_at,leverage_boost,leverage_share_of_roe,roe_quality,leverage_flag,dupont_identity,ticker,ev_ebitda,pb_ratio,mktcap_to_assets
0.3672891194500621,0.20998611462862368,0.7491114595821763,0.428,1.749,0.21,0.1573,0.428,mixed,mixed-assets,ROE = PM × AT × EM,ROST,20.434173687278186,11.566646228038481,4.68850825131809
0.3668092386655261,0.11588875976324964,2.1651839178785286,0.684,3.165,0.1159,0.2509,0.684,leverage_driven,levered-assets,ROE = PM × AT × EM,DLTR,10.424903735899113,5.3213784881591275,1.3499959749109551
0.3660295836488835,0.29345173690429854,0.2473246453070212,0.198,1.247,0.2935,0.0726,0.198,high_ops,cheap-assets,ROE = PM × AT × EM,EXPD,15.722877528346778,8.1585599835561,3.8976195959654447
0.36404910038674965,0.21393809135601177,0.7016562972927527,0.412,1.702,0.2139,0.1501,0.412,mixed,mixed-assets,ROE = PM × AT × EM,VRT,50.69497587387787,27.093858858163276,8.106568993176335
0.3607790505321639,0.2859369202226345,0.26174350010924186,0.207,1.262,0.2859,0.0748,0.207,high_ops,cheap-assets,ROE = PM × AT × EM,PGR,,3.593932293736796,0.9422055393549837
0.35456876118608815,0.14139115003279196,1.507715377545591,0.601,2.508,0.1414,0.2132,0.601,leverage_driven,levered-assets,ROE = PM × AT × EM,UNP,14.3630549636309,7.816404752866057,2.2691513313392595
0.35448968155432947,0.27258584392302093,0.3004698866696775,0.231,1.3,0.2726,0.0819,0.231,high_ops,cheap-assets,ROE = PM × AT × EM,NVR,10.215985371096565,5.051059375272452,3.159555068823126
0.3528293241302143,0.3114497704419223,0.13286108263806945,0.117,1.133,0.3114,0.0414,0.117,high_ops,cheap-assets,ROE = PM × AT × EM,EME,16.796151950506946,8.969811086467143,3.6021197061585633
0.3515079034880739,0.17888393591723364,0.9650054192161237,0.491,1.965,0.1789,0.1726,0.491,mixed,mixed-assets,ROE = PM × AT × EM,CHRW,23.43455391313847,11.447759845442624,3.7262285894549283
0.35,0.18,1.2,0.545,2.2,0.1591,0.1909,0.545,leverage_driven,levered-assets,ROE = PM × AT × EM,CL,16.0,80.0,4.875
0.35,0.15,1.8,0.643,2.8,0.125,0.225,0.643,leverage_driven,levered-assets,ROE = PM × AT × EM,DE,,5.86,1.606
0.35,0.25,0.3,0.231,1.3,0.2692,0.0808,0.231,high_ops,cheap-assets,ROE = PM × AT × EM,MSFT,,7.59,6.715
0.34503656417922507,0.2297551789077213,0.501757504747283,0.334,1.502,0.2298,0.1153,0.334,mixed,mixed-assets,ROE = PM × AT × EM,UBER,25.07059823786482,5.915746338584523,2.44503026845296
0.34199631214556586,0.222739185933216,0.5354115204861474,0.349,1.535,0.2227,0.1193,0.349,mixed,mixed-assets,ROE = PM × AT × EM,TT,25.648338190020482,12.532510457162779,4.51677635758639
0.33609151996445824,0.18877694251224306,0.7803631920919643,0.438,1.78,0.1888,0.1473,0.438,mixed,mixed-assets,ROE = PM × AT × EM,TXN,29.063362455670486,15.039989732940947,7.547658857395564
0.3352182598469344,0.08483012620498014,2.9516416495352877,0.747,3.952,0.0848,0.2504,0.747,leverage_driven,levered-assets,ROE = PM × AT × EM,CPAY,10.505634174213514,5.418510143080255,0.7132876040467602
0.33476751753561357,0.21568673127096533,0.5521006580374576,0.356,1.552,0.2157,0.1191,0.356,mixed,mixed-assets,ROE = PM × AT × EM,QCOM,15.197156965299055,7.015311770570521,3.382249253934134
0.33432165216498844,0.192119162767533,0.7401785816104275,0.425,1.74,0.1921,0.1422,0.425,mixed,mixed-assets,ROE = PM × AT × EM,AVGO,47.85844996861157,22.61142573718914,11.06742949977033
0.3338681446907818,0.12263069356791566,1.7225495915985998,0.633,2.723,0.1226,0.2112,0.633,leverage_driven,levered-assets,ROE = PM × AT × EM,AXP,,6.645273317354836,0.7391231406538021
0.3329949882636554,0.1181541924592009,1.8183086975829474,0.645,2.818,0.1182,0.2148,0.645,leverage_driven,levered-assets,ROE = PM × AT × EM,UPS,9.022007703704768,5.214824570807716,1.144721131190269
0.33230111332301115,0.2997738559772969,0.10850598441839318,0.098,1.109,0.2998,0.0325,0.098,high_ops,cheap-assets,ROE = PM × AT × EM,FAST,28.091196113142903,13.471335501714506,10.3548723949988
0.3312099669177166,0.16084979831817872,1.0591257830646865,0.514,2.059,0.1608,0.1704,0.514,leverage_driven,levered-assets,ROE = PM × AT × EM,RL,9.513222733320582,4.54512563596865,1.6686504272939235
0.3296228391828182,0.24749262536873157,0.3318491356731273,0.249,1.332,0.2475,0.0821,0.249,high_ops,cheap-assets,ROE = PM × AT × EM,ABNB,18.62393106214169,6.911502005378635,1.9672069969088735
0.3271394352907019,0.32287413138476967,0.013210423169049865,0.013,1.013,0.3229,0.0043,0.013,high_ops,cheap-assets,ROE = PM × AT × EM,SNDK,16.734630466680198,6.829306149723443,5.510240165431324
0.32636602530524755,0.14200903261319234,1.2982061021020495,0.565,2.298,0.142,0.1844,0.565,leverage_driven,levered-assets,ROE = PM × AT × EM,HSY,11.496745737354361,5.62616900180393,1.8371408796618502
0.3236783281682012,0.3204155771445295,0.010182872670388305,0.01,1.01,0.3204,0.0033,0.01,high_ops,cheap-assets,ROE = PM × AT × EM,TPL,45.696541167062556,21.004926684315716,18.660239044241724
0.32290233383326344,0.23781336309907125,0.3577972643141368,0.264,1.358,0.2378,0.0851,0.264,high_ops,cheap-assets,ROE = PM × AT × EM,PTC,9.801877073536923,4.263979875524988,2.517632891162698
0.31949373247095186,0.13645239062877187,1.341430084139431,0.573,2.341,0.1365,0.183,0.573,leverage_driven,levered-assets,ROE = PM × AT × EM,APH,21.374833837169675,11.118950921609374,3.6884248095626293
0.31901840490797545,0.1525633106856084,1.0910558605101712,0.522,2.091,0.1526,0.1665,0.522,leverage_driven,levered-assets,ROE = PM × AT × EM,VLTO,16.412908049009918,6.980818153154609,2.526243727543798
0.3158275986961246,0.17084639498432602,0.848605577689243,0.459,1.849,0.1708,0.145,0.459,mixed,mixed-assets,ROE = PM × AT × EM,HWM,37.099871879426495,16.691085464168857,7.053506844198395
0.3108656660058529,0.15871026821215992,0.9586991409421316,0.489,1.959,0.1587,0.1522,0.489,mixed,mixed-assets,ROE = PM × AT × EM,ALLE,13.189105294312908,5.639015638752486,2.2285514349091584
0.3091993185689949,0.14374340021119325,1.1510505394662123,0.535,2.151,0.1437,0.1655,0.535,leverage_driven,levered-assets,ROE = PM × AT × EM,ROK,26.217373126808123,11.30357389867151,3.5368858627506277
0.3056561085972851,0.03814336937801745,7.013348416289593,0.875,8.013,0.0381,0.2675,0.875,leverage_driven,levered-assets,ROE = PM × AT × EM,AES,11.845124539458793,2.2190864763820377,0.18569761308636296
0.3024823229272375,0.20967264895227525,0.44264082339173916,0.307,1.443,0.2097,0.0928,0.307,high_ops,cheap-assets,ROE = PM × AT × EM,LULU,6.061327820657926,3.0943101901656638,1.750220900311403
0.3,0.22,0.2,0.167,1.2,0.25,0.05,0.167,high_ops,cheap-assets,ROE = PM × AT × EM,SMCI,,2.22,1.724
0.3,0.18,0.6,0.375,1.6,0.1875,0.1125,0.375,mixed,mixed-assets,ROE = PM × AT × EM,NKE,,4.16,1.548
0.3,0.18,0.7,0.412,1.7,0.1765,0.1235,0.412,mixed,mixed-assets,ROE = PM × AT × EM,MRK,12.0,6.5,2.636
0.29984785916105194,0.11325649361310873,1.6475114105629212,0.622,2.648,0.1133,0.1866,0.622,leverage_driven,levered-assets,ROE = PM × AT × EM,AVY,17.540930718212845,9.257855082709813,2.372050833957847
