ticker,sector,in_portfolio,defensive_value_index,growth_tech_index,growth_sleeve,roe,roic,debt_to_equity,interest_coverage,earnings_stability,ev_ebitda,pb_ratio,mktcap_to_assets,roe_score,roic_score,leverage_score,stability_score,coverage_score,buffett_roe,buffett_roic,buffett_leverage,buffett_pass,quality_score,ev_score,pb_score,mca_score,trifecta_ev,trifecta_pb,trifecta_mca,trifecta_pass,value_score,debt_to_assets,equity_multiplier,leverage_flag,leverage_score_adj,composite_score,w_current,suggested_w_max,sizing_action,decision
TPL,,False,False,False,,0.3236783281682012,0.3204155771445295,0.010182872670388305,650.7076612903226,13.390999357170896,45.696541167062556,21.004926684315716,18.660239044241724,1.0,1.0,0.9949085636648058,13.390999357170896,1.0,True,True,True,True,2.8578861881253554,0.0,0.0,0.0,False,False,False,False,0.0,0.01,1.01,,0.0,1.5718,0.0,0.12,prefer_add,INCLUDE_QUALITY
EXPD,,False,False,False,,0.3660295836488835,0.29345173690429854,0.2473246453070212,,12.715715601293637,15.722877528346778,8.1585599835561,3.8976195959654447,1.0,1.0,0.8763376773464894,12.715715601293637,0.5,True,True,True,True,2.6888079917960184,0.5020090719743127,0.0,0.0,False,False,False,False,0.20080362878972507,0.198,1.247,,0.0,1.5692,0.0,0.12,prefer_add,INCLUDE_QUALITY
PGR,,False,False,False,,0.3607790505321639,0.2859369202226345,0.26174350010924186,53.34892086330935,12.657767072289484,,3.593932293736796,0.9422055393549837,1.0,1.0,0.8691282499453791,12.657767072289484,1.0,True,True,True,True,2.7290342983352294,0.0,0.06936342500586845,0.41039261419335504,False,False,False,False,0.14392681175976704,0.207,1.262,,0.0,1.5657,0.0,0.12,prefer_add,INCLUDE_QUALITY
JKHY,,False,False,False,,0.24318405704298882,0.23334656292152456,0.04215829879085315,123.25267938237965,11.91879318487938,12.65679808493453,5.236350586018611,3.664451715174959,0.9727362281719553,0.9333862516860982,0.9789208506045735,11.91879318487938,1.0,True,True,True,True,2.606493849280009,0.7291260677826273,0.0,0.0,False,False,False,False,0.29165042711305095,0.04,1.042,,0.0,1.5648,0.0,0.12,prefer_add,INCLUDE_QUALITY
CHRW,,False,False,False,,0.3515079034880739,0.17888393591723364,0.9650054192161237,12.05860727957708,14.179745726852556,23.43455391313847,11.447759845442624,3.7262285894549283,1.0,0.7155357436689346,0.5174972903919381,14.179745726852556,0.8039071519718053,True,True,True,True,2.7996378908845347,0.0,0.0,0.0,False,False,False,False,0.0,0.491,1.965,,0.0,1.5398,0.0,0.12,prefer_add,INCLUDE_QUALITY
AOS,,False,False,False,,0.2716216949888702,0.1986421027554991,0.3673923665779901,31.42924528301887,11.135071700343827,9.695554296915253,3.7247500108961415,1.8824576883165325,1.0,0.7945684110219964,0.8163038167110049,11.135071700343827,1.0,True,True,True,True,2.431076850864824,0.9484774594877591,0.011222217379492694,0.0,False,False,False,False,0.3827576490089515,0.269,1.367,,0.0,1.5093,0.0,0.12,prefer_add,INCLUDE_QUALITY
FAST,,False,False,False,,0.33230111332301115,0.2997738559772969,0.10850598441839318,395.5777777777778,11.895965978497095,28.091196113142903,13.471335501714506,10.3548723949988,1.0,1.0,0.9457470077908035,11.895965978497095,1.0,True,True,True,True,2.6262569479431845,0.0,0.0,0.0,False,False,False,False,0.0,0.098,1.109,,0.0,1.4444,0.0,0.12,prefer_add,INCLUDE_QUALITY
IBKR,,False,False,False,,0.18585496866606982,0.18545649455065213,0.0021486123545210387,2.1599443671766343,9.24917448205735,2.630643878240787,5.344387474533882,0.1364504708376803,0.7434198746642793,0.7418259782026085,0.9989256938227394,9.24917448205735,0.14399629114510895,True,True,True,True,1.9971884113565908,1.0,0.0,1.0,True,False,True,False,0.7,0.002,1.002,mixed-assets,0.0,1.4135,0.0,0.12,prefer_add,INCLUDE_QUALITY
MNST,,False,False,False,,0.23283096721853414,0.2276386513518679,0.022809465070324574,565.2904347826087,10.431731619986863,25.39274155380266,8.120337176968677,6.535366909955163,0.9313238688741365,0.9105546054074716,0.9885952674648377,10.431731619986863,1.0,True,True,True,True,2.3656125754022375,0.0,0.0,0.0,False,False,False,False,0.0,0.022,1.023,,0.0,1.3011,0.0,0.12,prefer_add,INCLUDE_QUALITY
TEL,,False,False,False,,0.22769137852936736,0.1597626867252887,0.42518496149781065,31.90983606557377,9.546817581843396,12.83921124798483,4.413025748066265,2.242230113497727,0.9107655141174694,0.6390507469011548,0.7874075192510946,9.546817581843396,1.0,True,True,True,True,2.115078643469761,0.7156139816307534,0.0,0.0,False,False,False,False,0.2862455926523014,0.298,1.425,,0.0,1.2921,0.0,0.12,prefer_add,INCLUDE_QUALITY
