ticker,preferred,peer,cross,earnings,composite,rank
TTMI,0.030965391621129327,0.5140845070422535,0.6773049645390071,0.29225352112676056,0.5595,62
GOOGL,0.32786885245901637,0.40492957746478875,0.6773049645390071,0.9788732394366197,0.5567,63
XLF,0.5938069216757741,0.8661971830985915,0.1773049645390071,0.29225352112676056,0.5529,64
MCD,0.2550091074681239,0.4859154929577465,0.6773049645390071,0.29225352112676056,0.5446,65
CRWD,0.0692167577413479,0.7676056338028169,0.1773049645390071,0.7464788732394366,0.537,66
MRK,0.4335154826958106,0.4647887323943662,0.6773049645390071,0.29225352112676056,0.5333,67
ARKK,0.030965391621129327,0.45774647887323944,0.6773049645390071,0.29225352112676056,0.5296,68
PG,0.2659380692167577,0.44366197183098594,0.6773049645390071,0.29225352112676056,0.5221,69
LRCX,0.030965391621129327,0.4295774647887324,0.6773049645390071,0.29225352112676056,0.5146,70
JPM,0.47358834244080145,0.3380281690140845,0.6773049645390071,0.8556338028169014,0.5112,71
CL,0.331511839708561,0.3591549295774648,0.6773049645390071,0.6971830985915493,0.5097,72
REGN,0.302367941712204,0.40492957746478875,0.6773049645390071,0.29225352112676056,0.5015,73
A,0.6502732240437158,,,,0.5,74
CNC,0.16757741347905283,,,,0.5,74
CNP,0.7577413479052824,,,,0.5,74
COF,0.3679417122040073,,,,0.5,74
COHR,0.08014571948998178,,,,0.5,74
XYZ,0.4353369763205829,,,,0.5,74
AAPL,0.26958105646630237,,,,0.5,74
ABNB,0.4080145719489982,,,,0.5,74
ABT,0.6484517304189436,,,,0.5,74
ACGL,0.802367941712204,,,,0.5,74
ACN,0.8451730418943534,,,,0.5,74
ADBE,0.9927140255009107,,,,0.5,74
ADI,0.31693989071038253,,,,0.5,74
ADM,0.5482695810564663,,,,0.5,74
ADP,0.8670309653916212,,,,0.5,74
ADSK,0.5418943533697632,,,,0.5,74
AMCR,0.3460837887067395,,,,0.5,74
AME,0.97632058287796,,,,0.5,74
AMGN,0.4553734061930783,,,,0.5,74
AMP,0.8123861566484517,,,,0.5,74
AMT,0.3825136612021858,,,,0.5,74
AMZN,0.7176684881602914,,,,0.5,74
VST,0.2786885245901639,,,,0.5,74
VTR,0.8579234972677595,,,,0.5,74
VTRS,0.3114754098360656,,,,0.5,74
VLTO,0.9854280510018215,,,,0.5,74
WAB,0.48633879781420764,,,,0.5,74
WAT,0.15300546448087432,,,,0.5,74
WBD,0.24408014571949,,,,0.5,74
WDAY,0.3861566484517304,,,,0.5,74
WDC,0.5719489981785064,,,,0.5,74
WEC,0.3989071038251366,,,,0.5,74
CCI,0.0546448087431694,,,,0.5,74
CCL,0.5,,,,0.5,74
CDNS,0.5245901639344263,,,,0.5,74
CDW,0.907103825136612,,,,0.5,74
CEG,0.36247723132969034,,,,0.5,74
CHD,0.7140255009107468,,,,0.5,74
CHRW,0.941712204007286,,,,0.5,74
CHTR,0.9744990892531876,,,,0.5,74
CI,0.9034608378870674,,,,0.5,74
CIEN,0.15482695810564662,,,,0.5,74
CINF,0.5883424408014571,,,,0.5,74
CLX,0.3333333333333333,,,,0.5,74
CMCSA,0.4918032786885246,,,,0.5,74
CME,0.802367941712204,,,,0.5,74
CMG,0.8105646630236795,,,,0.5,74
CMI,0.7103825136612022,,,,0.5,74
CPAY,0.8743169398907104,,,,0.5,74
VMC,0.4663023679417122,,,,0.5,74
CPRT,0.9817850637522769,,,,0.5,74
CPT,0.2896174863387978,,,,0.5,74
CRH,0.424408014571949,,,,0.5,74
CRL,0.056466302367941715,,,,0.5,74
CRM,0.8761384335154827,,,,0.5,74
CSGP,0.13114754098360656,,,,0.5,74
CSX,0.7759562841530054,,,,0.5,74
VRSK,0.9107468123861566,,,,0.5,74
CAH,0.6174863387978142,,,,0.5,74
CARR,0.12386156648451731,,,,0.5,74
CASY,0.4134790528233151,,,,0.5,74
VRSN,1.0,,,,0.5,74
CBOE,0.7686703096539163,,,,0.5,74
CBRE,0.33515482695810567,,,,0.5,74
CTSH,0.825136612021858,,,,0.5,74
VRT,0.7932604735883424,,,,0.5,74
CVNA,0.2185792349726776,,,,0.5,74
CVS,0.21129326047358835,,,,0.5,74
AEE,0.5500910746812386,,,,0.5,74
DAL,0.5100182149362478,,,,0.5,74
DASH,0.5646630236794171,,,,0.5,74
AES,0.3806921675774135,,,,0.5,74
DDOG,0.12750455373406194,,,,0.5,74
DECK,0.644808743169399,,,,0.5,74
DELL,0.5683060109289617,,,,0.5,74
WMT,0.6411657559198543,,,,0.5,74
COIN,0.061930783242258654,,,,0.5,74
COO,0.2204007285974499,,,,0.5,74
COP,0.697632058287796,,,,0.5,74
COR,0.43169398907103823,,,,0.5,74
DGX,0.8706739526411658,,,,0.5,74
DHI,0.7340619307832422,,,,0.5,74
DHR,0.517304189435337,,,,0.5,74
DIS,0.6065573770491803,,,,0.5,74
DLR,0.09836065573770492,,,,0.5,74
DLTR,0.5737704918032787,,,,0.5,74
DOC,0.33879781420765026,,,,0.5,74
DOV,0.8961748633879781,,,,0.5,74
WRB,0.912568306010929,,,,0.5,74
DPZ,0.7868852459016393,,,,0.5,74
DRI,0.6885245901639344,,,,0.5,74
DTE,0.6193078324225865,,,,0.5,74
WSM,0.7632058287795993,,,,0.5,74
DVA,0.7522768670309654,,,,0.5,74
WST,0.9690346083788707,,,,0.5,74
CTAS,0.9890710382513661,,,,0.5,74
DXCM,0.8160291438979964,,,,0.5,74
EA,0.23497267759562843,,,,0.5,74
EBAY,0.7540983606557377,,,,0.5,74
ECHO,0.052823315118397086,,,,0.5,74
ECL,0.726775956284153,,,,0.5,74
ED,0.5628415300546448,,,,0.5,74
EFX,0.9617486338797814,,,,0.5,74
EG,0.6429872495446266,,,,0.5,74
EIX,0.5446265938069217,,,,0.5,74
EL,0.0018214936247723133,,,,0.5,74
ELV,0.5191256830601093,,,,0.5,74
EME,0.7959927140255009,,,,0.5,74
EMR,0.8816029143897997,,,,0.5,74
WTW,0.5901639344262295,,,,0.5,74
EOG,0.7249544626593807,,,,0.5,74
EQIX,0.41530054644808745,,,,0.5,74
EQR,0.29143897996357016,,,,0.5,74
EQT,0.6357012750455373,,,,0.5,74
ERIE,0.5154826958105647,,,,0.5,74
ES,0.6757741347905283,,,,0.5,74
ESS,0.16029143897996356,,,,0.5,74
ETN,0.8870673952641166,,,,0.5,74
ETR,0.46265938069216755,,,,0.5,74
EVRG,0.453551912568306,,,,0.5,74
EW,0.2750455373406193,,,,0.5,74
EXC,0.5209471766848816,,,,0.5,74
EXE,0.761384335154827,,,,0.5,74
EXPD,0.9489981785063752,,,,0.5,74
EXPE,0.48269581056466304,,,,0.5,74
EXR,0.6812386156648452,,,,0.5,74
F,0.07468123861566485,,,,0.5,74
WY,0.3843351548269581,,,,0.5,74
GOOG,0.6830601092896175,,,,0.5,74
FAST,0.9271402550091075,,,,0.5,74
FCX,0.5391621129326047,,,,0.5,74
FDS,0.9544626593806922,,,,0.5,74
FDX,0.668488160291439,,,,0.5,74
FE,0.16393442622950818,,,,0.5,74
FFIV,0.8633879781420765,,,,0.5,74
FICO,0.46083788706739526,,,,0.5,74
FIS,0.5063752276867031,,,,0.5,74
FISV,0.7832422586520947,,,,0.5,74
FIX,0.7067395264116576,,,,0.5,74
FLEX,0.8834244080145719,,,,0.5,74
WYNN,0.5318761384335154,,,,0.5,74
FOX,0.7012750455373407,,,,0.5,74
FOXA,0.7030965391621129,,,,0.5,74
FRT,0.39344262295081966,,,,0.5,74
XEL,0.9089253187613844,,,,0.5,74
HLT,0.5974499089253188,,,,0.5,74
FSLR,0.8533697632058288,,,,0.5,74
FTNT,0.8797814207650273,,,,0.5,74
FTV,0.37522768670309653,,,,0.5,74
GDDY,0.9453551912568307,,,,0.5,74
GE,0.8779599271402551,,,,0.5,74
GEHC,0.8597449908925319,,,,0.5,74
GEN,0.4936247723132969,,,,0.5,74
GEV,0.3406193078324226,,,,0.5,74
GILD,0.6794171220400729,,,,0.5,74
XYL,0.6739526411657559,,,,0.5,74
GL,0.802367941712204,,,,0.5,74
GLW,0.6575591985428051,,,,0.5,74
GM,0.21493624772313297,,,,0.5,74
