date,window,avg_corr,median_corr,p10_corr,p90_corr,dispersion
2021-10-21,20,0.3212841698101461,0.3344663432190771,-0.06072394646135809,0.725713301216025,0.2937351906020891
2021-10-22,20,0.29505741262906215,0.31174579198045227,-0.09745255648490397,0.7095917871715083,0.3040206166531179
2021-10-25,20,0.28638749405160624,0.2960090233441133,-0.08827260337338766,0.7012257131019975,0.2962678337883396
2021-10-26,20,0.2859553495065631,0.29965382386929373,-0.10634797041891178,0.6994202948197359,0.3010850621104877
2021-10-27,20,0.2254933914472474,0.24452897379264832,-0.15273840468823457,0.5832304546274366,0.2856250373501546
2021-10-28,20,0.2036357476632669,0.2156370038435209,-0.15159858153601052,0.5506939986747732,0.2714648889019728
2021-10-29,20,0.1903442818145189,0.20375519052382096,-0.2013917249767656,0.5598480748306753,0.28801637324217505
2021-11-01,20,0.19183962250002592,0.19449367061136055,-0.18833133282994502,0.5555244100366861,0.2880767291395182
2021-11-02,20,0.14373140664765985,0.15099083223544835,-0.2190282106492581,0.499015328759141,0.28937803064903467
2021-11-03,20,0.13676824080623384,0.14424601754562805,-0.23136528341871118,0.49911257880612553,0.2870426224381922
2021-11-04,20,0.13586556524799176,0.14741154304265625,-0.231289161281398,0.48795388543601786,0.28251386946702467
2021-11-05,20,0.12346783838857531,0.1299989999108661,-0.27535713415211643,0.4958569855552552,0.29520950147528985
2021-11-08,20,0.10021687342305464,0.09789064007788578,-0.2807462730968045,0.47236154505970723,0.2888891903394329
2021-11-09,20,0.0879312797003171,0.08582940141981919,-0.2766530600626548,0.44083217047068285,0.27769743487095544
2021-11-10,20,0.08552963527246027,0.08851835271121042,-0.26349797395943436,0.4401415299202824,0.27602878266467257
2021-11-11,20,0.16791613593236587,0.16526699074546386,-0.17719971362256073,0.5191641364803851,0.27380138602445936
2021-11-12,20,0.14717752872944395,0.14191185947859253,-0.22623337481164477,0.501207969072924,0.2816573700074635
2021-11-15,20,0.1460982303459727,0.1463139541225203,-0.20907863090331993,0.49966263378437736,0.27446639093372754
2021-11-16,20,0.144360779382877,0.13902794695600104,-0.2076380992690801,0.5026929459759474,0.2727293990894923
2021-11-17,20,0.1395579901570987,0.13547102414911022,-0.21540343380406618,0.5028532219309585,0.27437272652784445
2021-11-18,20,0.14064048493079023,0.1386161352417724,-0.21688277668505987,0.5156252296752833,0.2779008819812898
2021-11-19,20,0.14028887148916452,0.13820842060132005,-0.21915330505773623,0.5204254819227806,0.27836051551926544
2021-11-22,20,0.13634848357235937,0.13711968668669855,-0.21838195594036017,0.49554705983550734,0.2710709591759491
2021-11-23,20,0.1338858115154406,0.1389527558354982,-0.24501264441236062,0.5043113117947845,0.282417157882747
2021-11-24,20,0.13435499735159429,0.14363301731738087,-0.2422198374732634,0.5008551065961024,0.2865416921805356
2021-11-26,20,0.1432944913829081,0.15443298458948118,-0.2367367536402274,0.5166985472412478,0.28937300257577697
2021-11-29,20,0.24134416596524885,0.2722786555703911,-0.14844274920956943,0.5794078671161054,0.27155324095012995
2021-11-30,20,0.2502314858416801,0.26429601070973824,-0.13467578910664832,0.5906691753939188,0.2755135739918535
2021-12-01,20,0.2692481678913064,0.2763643376933914,-0.11282452261754514,0.6107803615747215,0.27670806233933065
2021-12-02,20,0.27427240496147964,0.2888537708366262,-0.10360751900396109,0.6013011228628725,0.2667324285760649
2021-12-03,20,0.2620721583719152,0.2730168645094461,-0.10695646657664301,0.6106148764036773,0.27259590334426415
2021-12-06,20,0.253642509187101,0.26214359506451246,-0.11054009586705886,0.6047611976186664,0.279338114807936
2021-12-07,20,0.25067203091345847,0.25523953479026046,-0.12141499115747975,0.615549315201542,0.2818418862385272
2021-12-08,20,0.3142682813278032,0.3279057465043717,-0.058835732579715076,0.6683966517182475,0.2727789765674113
2021-12-09,20,0.32349633029650143,0.3347957638261816,-0.05313222414654522,0.6782941063755074,0.2704944063883843
2021-12-10,20,0.3177464817655243,0.32215490263211144,-0.06185905899446444,0.6767581270876073,0.2757011550193754
2021-12-13,20,0.3200685900159985,0.32186170400331326,-0.05148006412107661,0.670113860123513,0.27013821288445217
2021-12-14,20,0.3309632872585229,0.3447366055067198,-0.03387872016310616,0.6717329227249497,0.2707925898027053
