ticker,sector,decision,composite_score,roe,roic,ev_ebitda,pb_ratio,mktcap_to_assets,leverage_flag,momentum_score,mom_12_1,resid_mom_63,factor_composite,liquidity_score,sp500_member,sp500_sector,suggested_w_max,sizing_action,composite,rank,buy_score,action,regime,reasons
DAL,,SATELLITE,0.6516,0.181113912445565,0.0945237924352257,13.588820964597424,2.8539802377669807,0.7212564600373801,,0.7473316085950185,0.8075207996524012,0.1735369821883219,,,,,0.08,hold,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
FLEX,,SATELLITE,1.2097,0.1710730948678071,0.0930232558139534,13.488214403644117,4.662492198561498,1.0872103295285742,,0.9773544612602272,1.7998786876979325,0.0946064869552214,,,,,0.12,prefer_add,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
DOC,,SATELLITE,0.5199,0.0283853597005374,0.01198285854437,11.2931800647796,1.4296571648162275,0.5176162217554298,,0.7474763790582757,0.3816076005754472,0.2417911499319146,,,,,0.05,hold,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
VTRS,,SATELLITE,0.5039,-0.0202282759232348,-0.0101306218117583,11.506378037766344,1.0655427295342514,0.4240145316277141,mixed-assets,0.5114901595565684,0.9820796737233696,0.1316069844107135,,,,,0.05,hold,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
VZ,Communication Services,SATELLITE,0.5264,0.2,0.08,,1.85,0.509,,0.0392572481792753,-0.0011203321680786,0.1611008602613709,-0.0403539605791196,0.7605633802816901,True,Communication Services,0.05,hold,0.6202,42,0.35,ACCUMULATE,high_vol_stress,"satellite,positive_momentum,positive_residual_mom,aggregate_strong,sp500_member,stress_regime_haircut"
DLTR,,SATELLITE,0.7056,0.3668092386655261,0.1158887597632496,10.424903735899113,5.321378488159128,1.3499959749109551,,0.6343858398127039,0.058751724128758,0.2628048456446316,,,,,0.08,hold_or_add,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
SOLV,,SATELLITE,0.723,0.2881287726358149,0.1396119723115921,6.436896516293569,2.2753137267781245,0.8021784225074328,,0.5703758027910976,0.0865746381409082,0.2320337562713095,,,,,0.08,hold_or_add,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
NTAP,,SATELLITE,1.0134,0.9444855662472242,0.3124387855044074,11.412390512525748,16.040746286464017,2.0170372517696284,,1.7928159928355647,0.6410323311237562,0.4212459817410277,,,,,0.12,prefer_add,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
DVA,,SATELLITE,0.9238,,0.0626870736429677,8.28561510660025,,0.5637114721992289,,1.9415448724113795,0.7021231512573791,0.4500316124172502,,,,,0.12,prefer_add,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
AFL,Financials,INCLUDE_VALUE,0.8449,0.16,0.12,8.5,1.5,0.15,cheap-assets,0.0906107917968384,0.1675832435538051,-0.0033957705497877,0.2380252755609786,0.2394366197183098,True,Financials,0.12,prefer_add,0.4807,486,0.35,ACCUMULATE,high_vol_stress,"value_trifecta,positive_momentum,cheap_assets_flag,sp500_member,stress_regime_haircut"
PAYX,,SATELLITE,0.9032,0.4712323632566731,0.2109571637461946,12.457416487916824,9.13996145832041,2.110647627003776,,0.6101537079640708,-0.2184728514068805,0.2864462004170375,,,,,0.12,prefer_add,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
BBY,,SATELLITE,0.7602,0.3707427830035679,0.1585518102372035,6.179695964056598,4.079748372694443,0.844718887375216,,0.8726003370640555,0.2843240937207396,0.257034759503681,,,,,0.12,prefer_add,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
DELL,,SATELLITE,0.704,,0.2825889706623651,5.910283933523282,,0.5900677751087802,,3.9529472659417286,2.2701819007597117,0.660777342269592,,,,,0.08,hold_or_add,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
UAL,,SATELLITE,1.13,0.2094388213451518,0.0694331380919289,12.117563434904117,2.6434832061828333,0.5219198417107305,,0.7173575805814776,0.5667494439888139,0.2018862452338395,,,,,0.12,prefer_add,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
ZBRA,,SATELLITE,0.7378,0.1204610951008645,0.0661497072321569,14.359943084365776,2.8700834831640765,1.1952940094310305,,0.5167230533054902,-0.1937417479461353,0.1916246141357087,,,,,0.08,hold_or_add,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
GEN,,SATELLITE,0.639,0.3726541554959786,0.0895041854475209,7.411241500658546,4.293804818534829,0.7191689256010289,,0.930093694967043,-0.0580259806996811,0.3825469207672184,,,,,0.08,hold,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
IQV,,SATELLITE,0.6384,0.2228163992869875,0.0613510619311083,13.077100963981785,5.1537858047201,1.0643556842450967,,0.8522588715174884,0.1289120562667542,0.3732346021563974,,,,,0.08,hold,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
HPE,,SATELLITE,0.5926,0.0615214297010912,0.0334350423309983,9.699730133391752,1.5019057121537065,0.4777417153610969,mixed-assets,2.2970636944140166,1.2235640888013126,0.4686679578581209,,,,,0.05,hold,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
RVTY,,SATELLITE,0.633,0.033369164604199,0.0227555175118613,15.851254728049224,1.3588118200920902,0.8135637421831071,,0.5670810902293268,0.282911843959504,0.2590481545441048,,,,,0.08,hold,0.5,75,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
PYPL,Financials,SATELLITE,0.5612,0.18,0.12,,2.47,0.606,,0.8584299917429927,-0.3430521187661061,0.4079449939421641,-0.0073708436241115,0.704225352112676,,,0.05,hold,0.5571,56,0.35,ACCUMULATE,high_vol_stress,"satellite,strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
