asset_a,asset_b,corr_calm,corr_crisis,delta
AEP,VLO,0.05801337066274974,0.954381040499596,0.8963676698368463
IBM,WM,0.05906844795952679,0.9546453123564457,0.8955768643969189
COST,VLO,0.06364335526173974,0.9590830842263295,0.8954397289645898
REGN,TDG,0.09488416695111346,0.9901426643480504,0.895258497396937
REGN,SO,0.04225808938550034,0.9374767515846916,0.8952186621991912
JNJ,TDG,0.09658898181051843,0.9918040626184768,0.8952150808079583
FANG,VNQ,0.06929209440813729,0.9643157578770478,0.8950236634689105
ABBV,ORCL,0.08048336061663235,0.9754854969251411,0.8950021363085088
VLO,WM,0.0397460539339608,0.9346719678341964,0.8949259139002356
PG,REGN,0.06365251020230019,0.9584955568741252,0.894843046671825
DUK,STLD,0.039612563236430226,0.9342627034474417,0.8946501402110114
LLY,TDG,0.09949854808693158,0.9936530787828468,0.8941545306959152
LLY,MTSI,0.08304770545551202,0.9770462396378514,0.8939985341823394
HEI,PM,0.09210874898419873,0.9860014868881495,0.8938927379039507
REGN,XOM,0.06112603167345549,0.954551395617132,0.8934253639436764
LMT,QQQ,0.09579259690125708,0.9891415378279818,0.8933489409267247
FANG,RKLB,0.03483527476910198,0.9280126570066874,0.8931773822375855
AEP,XBI,0.06858901314270441,0.9616357931014753,0.8930467799587709
FANG,IYR,0.06933550436099747,0.9620364448046053,0.8927009404436078
UNH,WM,0.061697118503840555,0.9543214422049323,0.8926243237010918
HII,MCD,0.09915394288478074,0.9917494077776702,0.8925954648928894
HEI,LLY,0.0873950462606111,0.9799396137331237,0.8925445674725125
DG,TDG,0.07078169513349879,0.963039528353319,0.8922578332198202
BLK,LMT,0.09658871330746178,0.9887658923903759,0.8921771790829142
LLY,WM,0.05934353919598366,0.9513105178788533,0.8919669786828697
SO,STLD,0.03701964850797929,0.9288564537557895,0.8918368052478102
CVX,HEI,0.07420377026158931,0.9659271977064845,0.8917234274448952
AEP,MU,0.036649487201937836,0.9283293371561848,0.891679849954247
HII,PG,0.09742033870597755,0.9890210715667231,0.8916007328607456
GOOGL,MRK,0.052118220366426084,0.9435309213673869,0.8914127010009608
COST,CVX,0.08239450487968623,0.9737338882877172,0.891339383408031
FANG,O,0.025920439142787143,0.9171916088441973,0.8912711697014101
PM,XBI,0.07197748093581183,0.963223792855247,0.8912463119194352
AEP,UAN,-0.0012434940286923885,0.8895521383298688,0.8907956323585612
CVX,DG,0.04306512899929868,0.9336698522626894,0.8906047232633907
WM,XOM,0.052245210292115755,0.9427111734555883,0.8904659631634726
PEP,VLO,0.06472737677766763,0.9550559397631708,0.8903285629855032
HEI,WM,0.06251015120485658,0.9526213852928586,0.890111234088002
ALL,RKLB,0.023685942351385065,0.9135761591504884,0.8898902167991033
CAT,PM,0.09904509527654928,0.9886849977562887,0.8896399024797395
LXU,XLU,0.035319790667440926,0.9249398743431594,0.8896200836757184
HEI,VLO,0.06511289564825833,0.9545833910463788,0.8894704953981205
CRWD,IBM,0.05723816821512183,0.9465697168731942,0.8893315486580724
COST,LMT,0.10222180685080394,0.9911551970896975,0.8889333902388935
REGN,RKLB,0.01742509444633311,0.9060568066047832,0.88863171215845
ABBV,MTSI,0.06074429100041629,0.9492518333029034,0.8885075423024871
COST,REGN,0.08938336495463037,0.9778551541978325,0.8884717892432021
MPC,MRK,0.07837225276512043,0.9667939001939007,0.8884216474287803
HEI,MCD,0.09148162827115071,0.9798577978575564,0.8883761695864058
BLK,LLY,0.10055199409089793,0.9889214303681576,0.8883694362772596
CW,PM,0.10302481560516497,0.9912424605335367,0.8882176449283717
CRWD,FANG,0.04760909558598393,0.9351051939450957,0.8874960983591118
PM,REGN,0.09221793942786466,0.9794718825971142,0.8872539431692494
CW,PG,0.073471546164718,0.9605377673959365,0.8870662212312186
REGN,RTX,0.08323842610574804,0.9702760688783254,0.8870376427725774
MTSI,VLO,0.08666560868023701,0.9733125421210919,0.8866469334408549
PM,TDG,0.10166083578515248,0.9882473895520192,0.8865865537668667
LLY,PLTR,0.03403410525309239,0.9201544151351346,0.8861203098820423
SO,VLO,0.05644836373456616,0.9422491209207741,0.8858007571862079
AEP,QQQ,0.0963246099038789,0.9815687918355055,0.8852441819316266
CRWD,NUE,0.07027208668144609,0.9553660125532764,0.8850939258718302
CAT,WM,0.06855627709808085,0.9535430354547767,0.8849867583566958
HII,LLY,0.10523278185237259,0.9899400945056341,0.8847073126532615
PG,WM,0.07055660022117656,0.9551244964139962,0.8845678961928196
ASIX,KHC,0.04802348808396916,0.9324509919410382,0.884427503857069
IBM,PLTR,0.05497842404269137,0.9393783235287074,0.884399899486016
DUK,VLO,0.0663409437058906,0.9505561480161361,0.8842152043102455
COST,UAN,0.006201636162656031,0.8904083825031709,0.8842067463405149
LLY,UAN,0.0009509053934740976,0.8851503773838036,0.8841994719903296
BA,WM,0.06914331198097619,0.9532705662946578,0.8841272543136816
PLTR,VLO,0.032271597330246815,0.9160940163979423,0.8838224190676955
GD,UNH,0.09457851466524583,0.9779512112719088,0.883372696606663
JNJ,MPC,0.09592899509035438,0.9793011119836756,0.8833721168933213
AEP,TDG,0.10341236496919147,0.9867582765014132,0.8833459115322218
LLY,STLD,0.061823752473529094,0.9447394344821298,0.8829156820086007
MPC,PM,0.09775853192218062,0.9805141171805722,0.8827555852583916
AEP,STLD,0.05776349181428442,0.9404988717598322,0.8827353799455477
REGN,VLO,0.06652064668623268,0.9490421031298659,0.8825214564436332
CAT,DG,0.07750572510873088,0.9598770929499051,0.8823713678411742
DG,MPC,0.05601512756724647,0.9383320383340714,0.882316910766825
DG,JPM,0.0802523162161267,0.962528775660462,0.8822764594443353
CB,MU,0.04689648318762922,0.9291338553653748,0.8822373721777457
AMAT,SO,0.037379970570012744,0.9195785712872413,0.8821986007172286
AFL,MTSI,0.0718768951561434,0.953978675704603,0.8821017805484597
HII,KMB,0.08808542801109007,0.9697981185881441,0.881712690577054
HEI,IBM,0.08853761166422681,0.9702459410531779,0.881708329388951
MPC,WM,0.08730833395248891,0.9689810395068167,0.8816727055543278
BX,DG,0.07429502790778084,0.9558132940371017,0.8815182661293208
MCD,WM,0.08146377995424813,0.96231532208013,0.8808515421258819
PEP,XBI,0.07886146561739033,0.9596875302231671,0.8808260646057768
COST,HII,0.1110441944543795,0.9918479569476221,0.8808037624932425
DG,RTX,0.08386374184371898,0.964516143779592,0.880652401935873
ABBV,COST,0.10447885189117452,0.9847646236549907,0.8802857717638162
GOOGL,PM,0.0765033610417331,0.9567280164343577,0.8802246553926246
COST,UNH,0.09866569084606717,0.978753782349081,0.8800880915030138
IBM,REGN,0.09342421075509849,0.9732486362135513,0.8798244254584529
PLTR,RTX,0.04959461632939121,0.9291977137090204,0.8796030973796292
CVX,PLTR,0.03162999778146207,0.911219085153005,0.879589087371543
HEI,PEP,0.09130303206625451,0.9707912419675094,0.8794882099012549
JNJ,STLD,0.06283065329126275,0.9422337456433373,0.8794030923520746
PM,VLO,0.09373037991709877,0.9728646306214148,0.8791342507043161
MCD,UAN,0.016632538741485316,0.895661802379365,0.8790292636378797
FANG,ORCL,0.06881655896085823,0.9473517404254913,0.878535181464633
AEP,HEI,0.09108006865908369,0.9694881622380179,0.8784080935789342
JNJ,WM,0.07816156101394582,0.9560375711353666,0.8778760101214208
GD,WM,0.0823672978382411,0.9600968065414349,0.8777295087031938
SO,UAN,0.010268319531674494,0.887850348141994,0.8775820286103195
CTVA,KMB,0.007388507011841513,0.8849301885836247,0.8775416815717832
GD,PLTR,0.05649372068151571,0.9338536594926418,0.8773599388111261
MRK,PSX,0.07844048499315015,0.9555789335272983,0.8771384485341481
DUK,UNH,0.0841081580815883,0.961120664786025,0.8770125067044366
REGN,TRV,0.09629699255729061,0.9731914915695299,0.8768944990122393
DG,ORCL,0.07162743837933555,0.9483147720883663,0.8766873337090308
AEP,BLK,0.09900075797022966,0.9756255603644458,0.8766248023942161
HON,WM,0.08018678146882181,0.9566951474273728,0.876508365958551
DE,WM,0.08255596804534343,0.9587712556611533,0.8762152876158098
DUK,TDG,0.10914337533056227,0.9853345703733037,0.8761911950427415
JNJ,VLO,0.08026195231931073,0.956416874751082,0.8761549224317712
ASIX,CAG,0.05459900007408307,0.9306722303757451,0.8760732303016621
NOC,PM,0.10607648807869562,0.982093529305717,0.8760170412270214
MTSI,PSX,0.08839337560013141,0.9640453291429099,0.8756519535427785
COST,CW,0.11629330932546192,0.9919108649631199,0.875617555637658
MCD,PSX,0.09406905468992027,0.9694763937839256,0.8754073390940054
DG,HII,0.09798716355809137,0.9728430752104706,0.8748559116523793
PG,TDG,0.1100947044535963,0.9846184483759576,0.8745237439223613
DE,PM,0.11453312824456079,0.9888043166485316,0.8742711884039709
HEI,PG,0.07989425959965216,0.9539994676500825,0.8741052080504303
MPC,PLTR,0.051191707063608496,0.9252540293484709,0.8740623222848624
GOOGL,NOC,0.055248575190515445,0.9291828791332324,0.873934303942717
KMB,TDG,0.09450414966800995,0.9683979956899879,0.873893846021978
LLY,NOC,0.11068039230467107,0.9843139548843229,0.8736335625796519
