date,equity,cash,drawdown,n_holdings,kill_switch,ann_ret,sharpe
2026-01-02,172613.75,139489.28,-0.0003,152,,1.7324928744782415,1.800952159768954
2026-01-05,207409.86,167122.43,0.2013,152,,1.7324928744782415,1.800952159768954
2026-01-06,207733.07,167502.49,0.0016,152,,1.7324928744782415,1.800952159768954
2026-01-07,207294.2,168271.31,-0.0021,152,,1.7324928744782415,1.800952159768954
2026-01-08,207530.98,167803.82,-0.001,152,,1.7324928744782415,1.800952159768954
2026-01-09,207729.85,167995.03,-0.0,152,,1.7324928744782415,1.800952159768954
2026-01-12,207816.26,168179.56,0.0004,152,,1.7324928744782415,1.800952159768954
2026-01-13,207672.01,168280.68,-0.0007,152,,1.7324928744782415,1.800952159768954
2026-01-14,207801.88,168115.18,-0.0001,152,,1.7324928744782415,1.800952159768954
2026-01-15,208074.5,168195.27,0.0012,152,,1.7324928744782415,1.800952159768954
2026-01-16,207857.55,168509.83,-0.001,152,,1.7324928744782415,1.800952159768954
2026-01-19,177690.91,174035.67,-0.146,152,,1.7324928744782415,1.800952159768954
2026-01-20,207345.99,168144.5,-0.0035,152,,1.7324928744782415,1.800952159768954
2026-01-21,252643.09,202849.54,0.2142,152,,1.7324928744782415,1.800952159768954
2026-01-22,251905.69,203805.81,-0.0029,152,,1.7324928744782415,1.800952159768954
2026-01-23,251660.26,204000.04,-0.0039,152,,1.7324928744782415,1.800952159768954
2026-01-26,251757.53,203739.65,-0.0035,152,,1.7324928744782415,1.800952159768954
2026-01-27,251554.33,203877.91,-0.0043,152,,1.7324928744782415,1.800952159768954
2026-01-28,251605.7,203661.18,-0.0041,152,,1.7324928744782415,1.800952159768954
2026-01-29,251689.26,203692.02,-0.0038,152,,1.7324928744782415,1.800952159768954
2026-01-30,251566.65,203804.86,-0.0043,152,,1.7324928744782415,1.800952159768954
2026-02-02,252158.9,203569.98,-0.0019,152,,1.7324928744782415,1.800952159768954
2026-02-03,252022.98,204195.79,-0.0025,152,,1.7324928744782415,1.800952159768954
2026-02-04,252324.03,203985.08,-0.0013,152,,1.7324928744782415,1.800952159768954
2026-02-05,251805.41,204397.86,-0.0033,152,,1.7324928744782415,1.800952159768954
2026-02-06,252837.23,203682.68,0.0008,152,,1.7324928744782415,1.800952159768954
2026-02-09,252746.8,204751.61,-0.0004,152,,1.7324928744782415,1.800952159768954
2026-02-10,252686.5,204642.27,-0.0006,152,,1.7324928744782415,1.800952159768954
2026-02-11,252695.9,204586.96,-0.0006,152,,1.7324928744782415,1.800952159768954
2026-02-12,251958.91,204742.34,-0.0035,152,,1.7324928744782415,1.800952159768954
2026-02-13,252403.26,203903.72,-0.0017,152,,1.7324928744782415,1.800952159768954
2026-02-16,215410.37,211419.75,-0.148,152,,1.7324928744782415,1.800952159768954
2026-02-17,252313.05,204376.41,-0.0021,152,,1.7324928744782415,1.800952159768954
2026-02-18,308027.18,248944.24,0.2183,152,,1.7324928744782415,1.800952159768954
2026-02-19,307905.29,249525.39,-0.0004,152,,1.7324928744782415,1.800952159768954
2026-02-20,308234.6,249237.99,0.0007,152,,1.7324928744782415,1.800952159768954
2026-02-23,307297.37,249743.11,-0.003,152,,1.7324928744782415,1.800952159768954
2026-02-24,307670.12,248745.37,-0.0018,152,,1.7324928744782415,1.800952159768954
2026-02-25,307934.95,249065.72,-0.001,152,,1.7324928744782415,1.800952159768954
2026-02-26,308221.16,249269.26,-0.0,152,,1.7324928744782415,1.800952159768954
2026-02-27,308204.34,249552.49,-0.0001,152,,1.7324928744782415,1.800952159768954
2026-03-02,308214.41,249544.65,-0.0001,152,,1.7324928744782415,1.800952159768954
2026-03-03,307620.4,249653.89,-0.002,152,,1.7324928744782415,1.800952159768954
2026-03-04,307936.24,249004.66,-0.001,152,,1.7324928744782415,1.800952159768954
2026-03-05,307425.02,249428.6,-0.0026,152,,1.7324928744782415,1.800952159768954
2026-03-06,306692.11,249050.31,-0.005,152,,1.7324928744782415,1.800952159768954
2026-03-09,306838.93,248273.11,-0.0045,152,,1.7324928744782415,1.800952159768954
2026-03-10,306407.09,248536.1,-0.0059,152,,1.7324928744782415,1.800952159768954
2026-03-11,306304.2,248095.48,-0.0063,152,,1.7324928744782415,1.800952159768954
2026-03-12,305230.66,248199.98,-0.0097,152,,1.7324928744782415,1.800952159768954
2026-03-13,305270.96,247115.48,-0.0096,152,,1.7324928744782415,1.800952159768954
2026-03-16,305867.59,247059.32,-0.0077,152,,1.7324928744782415,1.800952159768954
2026-03-17,306247.68,247571.21,-0.0064,152,,1.7324928744782415,1.800952159768954
2026-03-18,305406.91,248106.67,-0.0092,152,,1.7324928744782415,1.800952159768954
2026-03-19,305491.74,247265.42,-0.0089,152,,1.7324928744782415,1.800952159768954
2026-03-20,304796.65,247475.31,-0.0112,152,,1.7324928744782415,1.800952159768954
2026-03-23,305435.83,246666.42,-0.0091,152,,1.7324928744782415,1.800952159768954
2026-03-24,305613.83,247273.45,-0.0085,152,,1.7324928744782415,1.800952159768954
2026-03-25,305929.46,247376.42,-0.0075,152,,1.7324928744782415,1.800952159768954
2026-03-26,305393.06,247791.62,-0.0092,152,,1.7324928744782415,1.800952159768954
2026-03-27,304504.47,247438.31,-0.0121,152,,1.7324928744782415,1.800952159768954
2026-03-30,304174.76,246603.84,-0.0132,152,,1.7324928744782415,1.800952159768954
2026-03-31,305563.46,246016.03,-0.0087,152,,1.7324928744782415,1.800952159768954
2026-04-01,305984.75,247356.83,-0.0073,152,,1.7324928744782415,1.800952159768954
2026-04-02,306142.2,247680.48,-0.0068,152,,1.7324928744782415,1.800952159768954
2026-04-03,262078.0,256255.79,-0.1497,152,,1.7324928744782415,1.800952159768954
2026-04-06,306408.29,248107.78,-0.0059,152,,1.7324928744782415,1.800952159768954
2026-04-07,370651.39,299989.32,0.2025,152,,1.7324928744782415,1.800952159768954
2026-04-08,372167.21,299527.3,0.0041,152,,1.7324928744782415,1.800952159768954
2026-04-09,372134.76,301346.96,-0.0001,152,,1.7324928744782415,1.800952159768954
2026-04-10,371359.6,301424.63,-0.0022,152,,1.7324928744782415,1.800952159768954
2026-04-13,372431.92,300460.87,0.0007,152,,1.7324928744782415,1.800952159768954
2026-04-14,372950.71,301461.2,0.0014,152,,1.7324928744782415,1.800952159768954
2026-04-15,373061.56,301937.09,0.0003,152,,1.7324928744782415,1.800952159768954
