ticker,name_vol,beta,max_dd
VUG,3.1480116094966957,0.8336482932084824,-0.5186673403220061
ARKK,1.1905731082300073,0.36361022669552207,-0.8107037996995992
BX,4.304382899182828,1.3559861802048672,-0.8807028348229184
GSAT,1.1390933369510967,0.303997948141253,-0.990909090909091
MPC,6.758030889447774,2.049893122720536,-0.8076166112205706
MTSI,8.468941421442144,2.5897526595417273,-0.8465644364143409
TTMI,6.654705287584268,1.5868412607933902,-0.9468062835214025
STLD,7.357025156460158,2.1122088050820675,-0.8714039770213958
GD,9.69165882247134,3.1575288438575826,-0.8994834837526459
MCHP,2.0128807551636405,0.5088236667634037,-0.6447884117860906
IRDM,4.594281230533925,-1.6810099138968542,-0.8500298962499517
VLO,6.891390051435607,2.188394263385272,-0.8750000434716528
BKSY,2.379684685728308,-0.5595771371841125,-0.9661440960242531
LRCX,9.895909241515087,2.8020205108089065,-0.8897668603040647
SPCX,1.6843684409627646,0.19512719517106672,-0.48138512905078124
INTC,5.075231395109152,1.0736220319371133,-0.8386644417535066
SEDG,1.8442858226592753,-0.4263900489793577,-0.9715879767216978
BA,5.446901114867768,1.7984191316024811,-0.8968599034553778
