ticker,n_dates,buffett_rate,trifecta_rate,dual_rate,median_composite,composite_std
ATO,6,0.0,0.0,0.0,0.6568499999999999,0.04315394149630674
MO,21,0.0,0.0,0.0,0.6558,0.03455688064626204
AMGN,6,0.0,0.0,0.0,0.6537,0.01588178201588225
TDG,11,0.0,0.0,0.0,0.6479,0.18132566282796267
WTW,7,0.0,0.0,0.0,0.647,0.040337610949867306
BG,7,0.0,0.0,0.0,0.6454,0.017864276670282016
DOW,22,0.0,0.045454545454545456,0.0,0.6453,0.10990048154651483
CDNS,7,0.0,0.0,0.0,0.6452,0.0
EVRG,6,0.0,0.0,0.0,0.64395,0.019239923769772734
UAN,10,0.0,0.0,0.0,0.64375,0.02274061711270533
ROK,6,0.0,0.0,0.0,0.6425,0.018101823112603905
HON,32,0.34375,0.0,0.0,0.6406000000000001,0.5124121380920957
C,21,0.0,0.47619047619047616,0.0,0.6397,0.1843727119309197
ANDE,12,0.0,0.0,0.0,0.6386000000000001,0.07500835509017198
ERIE,6,0.0,0.0,0.0,0.636,0.0
WYNN,6,0.0,0.0,0.0,0.63495,0.04081404986847869
STM,12,0.0,0.0,0.0,0.6348,0.22561954433931203
NI,6,0.0,0.0,0.0,0.63445,0.025498686240667395
Q,2,0.0,0.0,0.0,0.6326,0.09263098833543773
TDW,12,0.0,0.0,0.0,0.63235,0.19957492023768614
DUK,21,0.0,0.14285714285714285,0.0,0.6283,0.23987239832083745
PRU,6,0.0,0.0,0.0,0.6281,0.006799607831828778
CSCO,20,0.75,0.0,0.0,0.62735,0.39799660309975937
AEP,22,0.0,0.13636363636363635,0.0,0.6261,0.25454389750606043
VAL,12,0.0,0.0,0.0,0.62355,0.19045205711833638
IT,6,0.0,0.0,0.0,0.6231500000000001,0.07466655654753787
VMC,6,0.0,0.0,0.0,0.62235,0.014855672317333826
SW,7,0.0,0.5714285714285714,0.0,0.621,0.008741444797220685
DVY,1,0.0,0.0,0.0,0.6197,
BRK.B,5,0.0,0.0,0.0,0.6192,0.005923850099386386
AMCR,5,0.0,0.0,0.0,0.6183,0.020855766588644045
ZBRA,6,0.0,0.0,0.0,0.61705,0.06096059929714167
AMAT,22,0.9090909090909091,0.0,0.0,0.6142000000000001,1.0519018191555982
COR,6,0.0,0.0,0.0,0.6132,0.03772445714210702
YUM,6,0.0,0.0,0.0,0.6124,0.011218853179655548
HOOD,6,0.0,0.0,0.0,0.6117,0.08229144345961291
WEC,6,0.0,0.0,0.0,0.6106499999999999,0.03185251952357926
CPB,10,0.0,0.0,0.0,0.60995,0.02187595331256061
BAYRY,12,0.0,0.8333333333333334,0.0,0.6058,0.07418169136204254
QCOM,7,1.0,0.0,0.0,0.6046,0.018581327032419246
GEN,6,0.0,0.0,0.0,0.6036999999999999,0.028120881920736418
AON,7,0.0,0.0,0.0,0.6014,0.009859247532381071
DHR,7,0.0,0.0,0.0,0.5987,0.024158573357437013
MAA,6,0.0,0.0,0.0,0.59825,0.02723627483094311
CRH,7,0.0,0.0,0.0,0.5958,0.059247402997133686
ABNB,6,1.0,0.0,0.0,0.5947499999999999,0.013891400217400705
LMT,22,0.0,0.0,0.0,0.5940000000000001,0.2871278307110461
TGT,19,0.0,0.0,0.0,0.5936,0.31264666294069604
RVTY,6,0.0,0.0,0.0,0.59285,0.03950824808399716
FMC,12,0.0,0.5833333333333334,0.0,0.5927,0.06961237916730997
IVZ,12,0.08333333333333333,0.5833333333333334,0.08333333333333333,0.59065,0.183208415017797
KHC,21,0.0,0.42857142857142855,0.0,0.5884,0.11500773162415356
MRK,19,0.7368421052631579,0.0,0.0,0.5872,0.13355626801144976
GOOGL,22,1.0,0.0,0.0,0.5866,0.2147596760642078
PM,22,0.0,0.0,0.0,0.5851,0.13918540042921418
HPE,6,0.0,0.8333333333333334,0.0,0.585,0.0038375339303602838
MTD,6,0.0,0.0,0.0,0.5831,0.0
AVB,6,0.0,0.0,0.0,0.5811999999999999,0.03771735232842659
LOW,6,0.0,0.0,0.0,0.57835,0.010772372069326245
EQIX,7,0.0,0.0,0.0,0.5776,0.0037384106630644915
TSCO,6,0.0,0.0,0.0,0.5772999999999999,0.01355872412876669
PNW,6,0.0,0.0,0.0,0.57625,0.009728463393568351
RTX,22,0.22727272727272727,0.0,0.0,0.5728,0.31255652084534047
FTV,7,0.0,0.0,0.0,0.5716,0.023574976644941188
NCLH,6,0.0,0.0,0.0,0.5696,0.011041633333283014
SRE,6,0.0,0.0,0.0,0.5690999999999999,0.02971818747276936
ICL,10,0.0,0.0,0.0,0.5689,0.01079298125841255
BIIB,7,0.0,0.0,0.0,0.5688,0.059140929345162636
BMY,22,0.0,0.0,0.0,0.5675,0.10180990828127892
FICO,6,0.0,0.0,0.0,0.5674,0.0004898979485566216
SO,21,0.0,0.0,0.0,0.5672,0.49030895012372405
NTR,12,0.0,0.0,0.0,0.5671999999999999,0.05270821912791556
DD,19,0.2631578947368421,0.0,0.0,0.5664,0.19466413630895724
O,19,0.0,0.0,0.0,0.5646,0.4240219416699375
UNH,21,0.7619047619047619,0.0,0.0,0.5645,0.20204460056890317
CAT,19,0.0,0.0,0.0,0.5639,0.3418086551349252
SWKS,5,0.0,0.0,0.0,0.5629,0.04396842048561673
SMCI,21,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.5622,0.14365025450394306
